week,start,end
Week10,2020-03-01 00:00:00.000000,2020-03-07 23:59:59.000000
Week11,2020-03-08 00:00:00.000000,2020-03-14 23:59:59.000000
Week12,2020-03-15 00:00:00.000000,2020-03-21 23:59:59.000000
Week13,2020-03-22 00:00:00.000000,2020-03-28 23:59:59.000000
Week14,2020-03-29 00:00:00.000000,2020-04-04 23:59:59.000000
Week15,2020-04-05 00:00:00.000000,2020-04-11 23:59:59.000000
Week16,2020-04-12 00:00:00.000000,2020-04-18 23:59:59.000000
Week17,2020-04-19 00:00:00.000000,2020-04-25 23:59:59.000000
Week18,2020-04-26 00:00:00.000000,2020-05-02 23:59:59.000000
Week19,2020-05-03 00:00:00.000000,2020-05-09 23:59:59.000000
Week20,2020-05-10 00:00:00.000000,2020-05-16 23:59:59.000000
Week21,2020-05-17 00:00:00.000000,2020-05-23 23:59:59.000000
Week22,2020-05-24 00:00:00.000000,2020-05-30 23:59:59.000000
Week23,2020-05-31 00:00:00.000000,2020-06-06 23:59:59.000000
Week24,2020-06-07 00:00:00.000000,2020-06-13 23:59:59.000000
Week25,2020-06-14 00:00:00.000000,2020-06-20 23:59:59.000000
Week26,2020-06-21 00:00:00.000000,2020-06-27 23:59:59.000000
